username,original_link,tweet_id,retweets,impressions,day,link,date,stance,notes
DrJBhattacharya,,1431768811590520833,749,0,2021-08-29 00:01:00+00:00,https://twitter.com/DrJBhattacharya/status/1431768811590520833,2021-08-29,misleading,not relevant
DrJBhattacharya,,1589475548883222529,1078,0,2022-11-07 04:31:16+00:00,https://twitter.com/DrJBhattacharya/status/1589475548883222529,2022-11-07,misleading,not relevant
carlheneghan,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620175395516743682,338,486049,2023-01-30 21:41:30+00:00,https://twitter.com/carlheneghan/status/1620175395516743682,2023-01-30,misleading,
BallouxFrancois,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620265902133633025,778,721324,2023-01-31 03:41:08+00:00,https://twitter.com/BallouxFrancois/status/1620265902133633025,2023-01-31,misleading,
CochraneLibrary,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620403272778489856,277,133256,2023-01-31 12:47:00+00:00,https://twitter.com/CochraneLibrary/status/1620403272778489856,2023-01-31,neutral,
DrAseemMalhotra,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620334518757629955,469,162353,2023-01-31 08:13:48+00:00,https://twitter.com/DrAseemMalhotra/status/1620334518757629955,2023-01-31,misleading,
DrEliDavid,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620434758290522112,1758,326940,2023-01-31 14:52:07+00:00,https://twitter.com/DrEliDavid/status/1620434758290522112,2023-01-31,misleading,
goddeketal,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620245228602167299,5907,994368,2023-01-31 02:18:59+00:00,https://twitter.com/goddeketal/status/1620245228602167299,2023-01-31,misleading,
healthbyjames,,1620248737783365637,603,59475,2023-01-31 02:32:56+00:00,https://twitter.com/healthbyjames/status/1620248737783365637,2023-01-31,misleading,
healthbyjames,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620414306109227009,2641,329527,2023-01-31 13:30:51+00:00,https://twitter.com/healthbyjames/status/1620414306109227009,2023-01-31,misleading,
holmenkollin,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620237967326609411,1633,271726,2023-01-31 01:50:08+00:00,https://twitter.com/holmenkollin/status/1620237967326609411,2023-01-31,misleading,
john_bumblebee,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620325702141894659,235,33066,2023-01-31 07:38:46+00:00,https://twitter.com/john_bumblebee/status/1620325702141894659,2023-01-31,misleading, 
stohr_klaus,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620523438682288128,678,82581,2023-01-31 20:44:30+00:00,https://twitter.com/stohr_klaus/status/1620523438682288128,2023-01-31,misleading,
taipan168,,1620225909981851649,462,306092,2023-01-31 01:02:13+00:00,https://twitter.com/taipan168/status/1620225909981851649,2023-01-31,misleading,
Awakend_Citizen,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620651974147592197,322,91571,2023-02-01 05:15:15+00:00,https://twitter.com/Awakend_Citizen/status/1620651974147592197,2023-02-01,misleading,
MNHR_Labo,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620716473823170562,5480,1399622,2023-02-01 09:31:33+00:00,https://twitter.com/MNHR_Labo/status/1620716473823170562,2023-02-01,misleading,
NBCMontana,https://nbcmontana.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,1620886078352670720,451,66413,2023-02-01 20:45:30+00:00,https://twitter.com/NBCMontana/status/1620886078352670720,2023-02-01,misleading,
PrisonPlanet,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1620926136875364359,227,53102,2023-02-01 23:24:41+00:00,https://twitter.com/PrisonPlanet/status/1620926136875364359,2023-02-01,misleading,
RWMaloneMD,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620833978164060162,2221,339824,2023-02-01 17:18:28+00:00,https://twitter.com/RWMaloneMD/status/1620833978164060162,2023-02-01,misleading,
deepakdeepak,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620693994505400321,319,51853,2023-02-01 08:02:13+00:00,https://twitter.com/deepakdeepak/status/1620693994505400321,2023-02-01,misleading,
dramayraoficial,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620849270034427904,331,34262,2023-02-01 18:19:14+00:00,https://twitter.com/dramayraoficial/status/1620849270034427904,2023-02-01,misleading,
georgrestle,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620786268073496576,610,471321,2023-02-01 14:08:53+00:00,https://twitter.com/georgrestle/status/1620786268073496576,2023-02-01,nuanced_accurate,
zerohedge,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1620916187432452096,378,118583,2023-02-01 22:45:08+00:00,https://twitter.com/zerohedge/status/1620916187432452096,2023-02-01,misleading,
0waki,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621125660700971008,511,146123,2023-02-02 12:37:31+00:00,https://twitter.com/0waki/status/1621125660700971008,2023-02-02,misleading,
BjornLomborg,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621165555486187523,288,70444,2023-02-02 15:16:02+00:00,https://twitter.com/BjornLomborg/status/1621165555486187523,2023-02-02,misleading,
BretWeinstein,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1621202578267865090,476,402210,2023-02-02 17:43:09+00:00,https://twitter.com/BretWeinstein/status/1621202578267865090,2023-02-02,misleading,
ChanceGardi,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1621109443902537729,201,8896,2023-02-02 11:33:04+00:00,https://twitter.com/ChanceGardi/status/1621109443902537729,2023-02-02,misleading,
DC_Draino,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1621230914700181506,2771,168483,2023-02-02 19:35:45+00:00,https://twitter.com/DC_Draino/status/1621230914700181506,2023-02-02,misleading,
GregoryPamart,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621056463019053057,228,14438,2023-02-02 08:02:33+00:00,https://twitter.com/GregoryPamart/status/1621056463019053057,2023-02-02,misleading,
JeanneNoble18,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621180275551272961,225,67861,2023-02-02 16:14:32+00:00,https://twitter.com/JeanneNoble18/status/1621180275551272961,2023-02-02,misleading,
MailOnline,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1621229228397150208,449,155821,2023-02-02 19:29:03+00:00,https://twitter.com/MailOnline/status/1621229228397150208,2023-02-02,misleading,
MichaelPSenger,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1620992293565259776,7962,1073692,2023-02-02 03:47:34+00:00,https://twitter.com/MichaelPSenger/status/1620992293565259776,2023-02-02,misleading,
TheChiefNerd,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,1621280317553217537,633,60281,2023-02-02 22:52:04+00:00,https://twitter.com/TheChiefNerd/status/1621280317553217537,2023-02-02,misleading,
mynbc15,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,1621122258931691520,2368,472946,2023-02-02 12:24:00+00:00,https://twitter.com/mynbc15/status/1621122258931691520,2023-02-02,misleading,
DrScheuch,https://www.tagesschau.de/faktenfinder/corona-studie-masken-101.html,1621550458094460929,424,77922,2023-02-03 16:45:30+00:00,https://twitter.com/DrScheuch/status/1621550458094460929,2023-02-03,neutral,
LozzaFox,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1621513122971525120,248,58719,2023-02-03 14:17:09+00:00,https://twitter.com/LozzaFox/status/1621513122971525120,2023-02-03,misleading,
strauss_matt,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621555085711970305,692,127023,2023-02-03 17:03:54+00:00,https://twitter.com/strauss_matt/status/1621555085711970305,2023-02-03,misleading,
tomdabassman,https://www.berliner-zeitung.de/news/corona-masken-nutzlos-bringen-nichts-cochrane-studie-oft-falsch-interpretiert-li.313781,1621405875003867137,190,39707,2023-02-03 07:10:59+00:00,https://twitter.com/tomdabassman/status/1621405875003867137,2023-02-03,nuanced_accurate,
CKellyUAP,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1622012506175844352,923,89318,2023-02-04 23:21:31+00:00,https://twitter.com/CKellyUAP/status/1622012506175844352,2023-02-04,misleading,
ChanasitJonas,https://www.fr.de/wissen/wirkungslos-corona-studie-ueberrascht-masken-maskenpflicht-waren-92062735.html,1621854404998582272,661,181652,2023-02-04 12:53:17+00:00,https://twitter.com/ChanasitJonas/status/1621854404998582272,2023-02-04,misleading,
JenniferNuzzo,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621881097452666883,369,923420,2023-02-04 14:39:21+00:00,https://twitter.com/JenniferNuzzo/status/1621881097452666883,2023-02-04,nuanced_accurate,
KanAugust,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621746052196962304,303,139575,2023-02-04 05:42:44+00:00,https://twitter.com/KanAugust/status/1621746052196962304,2023-02-04,misleading,
ChristinaPushaw,,1622253997238140928,219,84731,2023-02-05 15:21:07+00:00,https://twitter.com/ChristinaPushaw/status/1622253997238140928,2023-02-05,misleading,
MZHemingway,,1622311620994023425,419,54741,2023-02-05 19:10:06+00:00,https://twitter.com/MZHemingway/status/1622311620994023425,2023-02-05,misleading,
MaryanneDemasi,,1622215739284557826,636,754915,2023-02-05 12:49:06+00:00,https://twitter.com/MaryanneDemasi/status/1622215739284557826,2023-02-05,misleading,
justin_hart,,1622090687150985216,1013,235878,2023-02-05 04:32:11+00:00,https://twitter.com/justin_hart/status/1622090687150985216,2023-02-05,misleading,
DFisman,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622690337897713664,405,474051,2023-02-06 20:14:59+00:00,https://twitter.com/DFisman/status/1622690337897713664,2023-02-06,nuanced_accurate,
DrJBhattacharya,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1622655669030748160,1507,308328,2023-02-06 17:57:13+00:00,https://twitter.com/DrJBhattacharya/status/1622655669030748160,2023-02-06,misleading,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622676327324336128,694,158310,2023-02-06 19:19:18+00:00,https://twitter.com/Globalbiosec/status/1622676327324336128,2023-02-06,nuanced_accurate,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622722684273688581,216,47768,2023-02-06 22:23:31+00:00,https://twitter.com/Globalbiosec/status/1622722684273688581,2023-02-06,nuanced_accurate,
aaronsibarium,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1622621811799121920,6902,1020644,2023-02-06 15:42:41+00:00,https://twitter.com/aaronsibarium/status/1622621811799121920,2023-02-06,misleading,
trishgreenhalgh,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622673877150187520,345,214079,2023-02-06 19:09:34+00:00,https://twitter.com/trishgreenhalgh/status/1622673877150187520,2023-02-06,nuanced_accurate,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622798343192862721,250,30521,2023-02-07 03:24:09+00:00,https://twitter.com/Globalbiosec/status/1622798343192862721,2023-02-07,nuanced_accurate,
RandPaul,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1623050330517766144,1466,250368,2023-02-07 20:05:28+00:00,https://twitter.com/RandPaul/status/1623050330517766144,2023-02-07,misleading,
ToshiAkima,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622827992845266944,452,306108,2023-02-07 05:21:58+00:00,https://twitter.com/ToshiAkima/status/1622827992845266944,2023-02-07,nuanced_accurate,
healthbyjames,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,1623017549213405188,1370,71688,2023-02-07 17:55:12+00:00,https://twitter.com/healthbyjames/status/1623017549213405188,2023-02-07,misleading,
naika_hashikure,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1622979360209920001,343,67504,2023-02-07 15:23:27+00:00,https://twitter.com/naika_hashikure/status/1622979360209920001,2023-02-07,misleading,
robbysoave,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,1623085018598805506,393,60366,2023-02-07 22:23:18+00:00,https://twitter.com/robbysoave/status/1623085018598805506,2023-02-07,misleading,
thackerpd,,1623037014861053953,502,100941,2023-02-07 19:12:33+00:00,https://twitter.com/thackerpd/status/1623037014861053953,2023-02-07,misleading,
JenniferSey,,1624139246402474018,2805,388403,2023-02-10 20:12:26+00:00,https://twitter.com/JenniferSey/status/1624139246402474018,2023-02-10,misleading,
MichaelPSenger,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1624082006635339777,361,42940,2023-02-10 16:24:59+00:00,https://twitter.com/MichaelPSenger/status/1624082006635339777,2023-02-10,misleading,
RandPaul,https://reason.com/2023/02/08/a-scientific-review-shows-the-cdc-grossly-exaggerated-the-evidence-supporting-mask-mandates/,1623872271776358402,1525,237941,2023-02-10 02:31:34+00:00,https://twitter.com/RandPaul/status/1623872271776358402,2023-02-10,misleading,
guypbenson,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1624061935900672002,530,261443,2023-02-10 15:05:13+00:00,https://twitter.com/guypbenson/status/1624061935900672002,2023-02-10,misleading,
tatiann69922625,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1623989316719370242,285,15510,2023-02-10 10:16:40+00:00,https://twitter.com/tatiann69922625/status/1623989316719370242,2023-02-10,misleading,
MichaelPSenger,,1624223551120375809,1597,365819,2023-02-11 01:47:25+00:00,https://twitter.com/MichaelPSenger/status/1624223551120375809,2023-02-11,misleading,
TiceRichard,,1624531944917848064,595,112063,2023-02-11 22:12:52+00:00,https://twitter.com/TiceRichard/status/1624531944917848064,2023-02-11,misleading,
TRyanGregory,https://www.tvo.org/article/once-and-for-all-masks-reduce-the-risk-of-spreading-covid,1624750842166362115,406,49688,2023-02-12 12:42:41+00:00,https://twitter.com/TRyanGregory/status/1624750842166362115,2023-02-12,misleading,
jhmdrei,,1624558909850816512,653,49174,2023-02-12 00:00:01+00:00,https://twitter.com/jhmdrei/status/1624558909850816512,2023-02-12,misleading,
IngrahamAngle,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1625006721251872768,499,104279,2023-02-13 05:39:28+00:00,https://twitter.com/IngrahamAngle/status/1625006721251872768,2023-02-13,misleading,
MichaelPSenger,https://slate.com/technology/2023/02/masks-effectiveness-cochrane-review.html,1625271126493646848,250,62916,2023-02-13 23:10:07+00:00,https://twitter.com/MichaelPSenger/status/1625271126493646848,2023-02-13,misleading,
MonicaGandhi9,,1625152019425300480,222,183151,2023-02-13 15:16:49+00:00,https://twitter.com/MonicaGandhi9/status/1625152019425300480,2023-02-13,neutral,???
FoxNews,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,1625329008895197187,2316,850262,2023-02-14 03:00:07+00:00,https://twitter.com/FoxNews/status/1625329008895197187,2023-02-14,misleading,
MichaelPSenger,https://nypost.com/2023/02/14/face-masks-made-little-to-no-difference-in-preventing-covid-study/,1625556344635002881,296,39201,2023-02-14 18:03:28+00:00,https://twitter.com/MichaelPSenger/status/1625556344635002881,2023-02-14,misleading,
catturd2,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,1625461123490217984,2423,249430,2023-02-14 11:45:06+00:00,https://twitter.com/catturd2/status/1625461123490217984,2023-02-14,misleading,
nypost,https://nypost.com/2023/02/14/face-masks-made-little-to-no-difference-in-preventing-covid-study/,1625525537471864834,263,171209,2023-02-14 16:01:03+00:00,https://twitter.com/nypost/status/1625525537471864834,2023-02-14,misleading,
seanhannity,https://hannity.com/media-room/following-the-science-new-study-finds-face-masks-made-little-to-no-difference/,1625551815222693900,353,92289,2023-02-14 17:45:28+00:00,https://twitter.com/seanhannity/status/1625551815222693900,2023-02-14,misleading,
DrEliDavid,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1625918127648243714,1437,221436,2023-02-15 18:01:04+00:00,https://twitter.com/DrEliDavid/status/1625918127648243714,2023-02-15,misleading,
MichaelPSenger,,1626011959975104512,239,42533,2023-02-16 00:13:55+00:00,https://twitter.com/MichaelPSenger/status/1626011959975104512,2023-02-16,misleading,
DrSuneelDhand,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(22)02465-5/fulltext,1626541219491749891,563,45326,2023-02-17 11:17:01+00:00,https://twitter.com/DrSuneelDhand/status/1626541219491749891,2023-02-17,nuanced_accurate,
Globalbiosec,,1627091355657990146,219,46376,2023-02-18 23:43:03+00:00,https://twitter.com/Globalbiosec/status/1627091355657990146,2023-02-18,nuanced_accurate,
kevinnbass,,1626944235680464897,666,187844,2023-02-18 13:58:27+00:00,https://twitter.com/kevinnbass/status/1626944235680464897,2023-02-18,misleading,
nbreavington,,1626978936906305537,204,9431,2023-02-18 16:16:21+00:00,https://twitter.com/nbreavington/status/1626978936906305537,2023-02-18,misleading,
ToshiAkima,,1627184313593909248,404,230437,2023-02-19 05:52:26+00:00,https://twitter.com/ToshiAkima/status/1627184313593909248,2023-02-19,nuanced_accurate,
MartinKulldorff,https://www.city-journal.org/new-cochrane-study-on-masks-and-covid,1627669651931947009,508,96091,2023-02-20 14:01:00+00:00,https://twitter.com/MartinKulldorff/status/1627669651931947009,2023-02-20,misleading,
nbreavington,,1627698839799865347,232,9328,2023-02-20 15:56:59+00:00,https://twitter.com/nbreavington/status/1627698839799865347,2023-02-20,misleading,
Jikkyleaks,,1627851786144071680,193,25102,2023-02-21 02:04:44+00:00,https://twitter.com/Jikkyleaks/status/1627851786144071680,2023-02-21,misleading,
dagenmcdowell,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1628049785486729216,215,85190,2023-02-21 15:11:31+00:00,https://twitter.com/dagenmcdowell/status/1628049785486729216,2023-02-21,misleading,
AaronSiriSG,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628403978143731712,307,37718,2023-02-22 14:38:57+00:00,https://twitter.com/AaronSiriSG/status/1628403978143731712,2023-02-22,misleading,
