username,original_link,link,retweets,stance
DrLoupis,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/DrLoupis/status/1638964209311445001,11914,misleading
RandPaul,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/RandPaul/status/1628482055301484547,9774,misleading
stkirsch,https://stevekirsch.substack.com/p/the-debate-is-over-masks-do-not-work,https://twitter.com/stkirsch/status/1620824659112636416,9223,misleading
MichaelPSenger,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/MichaelPSenger/status/1620992293565259776,7962,misleading
aaronsibarium,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,https://twitter.com/aaronsibarium/status/1622621811799121920,6864,misleading
RobertKennedyJr,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/RobertKennedyJr/status/1628403138750193667,6359,misleading
zeynep,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/zeynep/status/1634161449529475072,3281,nuanced_accurate
DC_Draino,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/DC_Draino/status/1621230914700181506,2754,misleading
catturd2,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,https://twitter.com/catturd2/status/1625461123490217984,2409,misleading
mynbc15,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,https://twitter.com/mynbc15/status/1621122258931691520,2350,misleading
FoxNews,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,https://twitter.com/FoxNews/status/1625329008895197187,2307,misleading
CartlandDavid,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/CartlandDavid/status/1637829873644314626,2216,misleading
RandPaul,https://reason.com/2023/02/08/a-scientific-review-shows-the-cdc-grossly-exaggerated-the-evidence-supporting-mask-mandates/,https://twitter.com/RandPaul/status/1623872271776358402,1514,misleading
DrJBhattacharya,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,https://twitter.com/DrJBhattacharya/status/1622655669030748160,1502,misleading
RandPaul,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,https://twitter.com/RandPaul/status/1623050330517766144,1455,misleading
healthbyjames,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,https://twitter.com/healthbyjames/status/1623017549213405188,1357,misleading
luckytran,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,https://twitter.com/luckytran/status/1630267280138403852,1232,nuanced_accurate
DaAcervo,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/DaAcervo/status/1637876025211101211,1094,misleading
silvano_trotta,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/silvano_trotta/status/1638961418203459586,1084,misleading
v_joron,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/v_joron/status/1638998449327689738,1020,misleading
morgfair,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/morgfair/status/1634448572862332928,958,nuanced_accurate
MeetJess,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,https://twitter.com/MeetJess/status/1630251572314755073,934,nuanced_accurate
CKellyUAP,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/CKellyUAP/status/1622012506175844352,916,misleading
PeterHotez,https://www.washingtonpost.com/opinions/2023/03/03/face-masks-work-study/,https://twitter.com/PeterHotez/status/1632342707766018055,899,nuanced_accurate
BuckSexton,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/BuckSexton/status/1628245279622238209,777,misleading
VPrasadMDMPH,https://vinayprasadmdmph.substack.com/p/the-cochrane-review-on-masks-is-damning,https://twitter.com/VPrasadMDMPH/status/1620993979990036480,716,misleading
P_McCulloughMD,https://disinformationchronicle.substack.com/p/researchers-find-no-evidence-again,https://twitter.com/P_McCulloughMD/status/1623210530008891393,714,misleading
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/Globalbiosec/status/1622676327324336128,692,nuanced_accurate
kevinnbass,https://www.city-journal.org/new-cochrane-study-on-masks-and-covid,https://twitter.com/kevinnbass/status/1626944235680464897,666,misleading
ChanasitJonas,https://www.fr.de/wissen/wirkungslos-corona-studie-ueberrascht-masken-maskenpflicht-waren-92062735.html,https://twitter.com/ChanasitJonas/status/1621854404998582272,655,misleading
DaliaHasanMD,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/DaliaHasanMD/status/1634162015622111237,645,nuanced_accurate
RWMaloneMD,https://rwmalonemd.substack.com/p/the-2023-cochran-review-on-physical,https://twitter.com/RWMaloneMD/status/1621255805264662529,645,misleading
CaulfieldTim,https://www.cochrane.org/news/statement-physical-interventions-interrupt-or-reduce-spread-respiratory-viruses-review,https://twitter.com/CaulfieldTim/status/1634214975110627330,642,nuanced_accurate
tak53381102,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/tak53381102/status/1634394061892362240,634,nuanced_accurate
TheChiefNerd,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,https://twitter.com/TheChiefNerd/status/1621280317553217537,632,misleading
MaryanneDemasi,https://maryannedemasi.substack.com/p/exclusive-lead-author-of-new-cochrane,https://twitter.com/MaryanneDemasi/status/1622215739284557826,631,misleading
davidzweig,https://davidzweig.substack.com/p/a-new-study-shows-why-mask-mandates,https://twitter.com/davidzweig/status/1620525249325580289,590,misleading
michaelpsenger,https://michaelpsenger.substack.com/p/how-zeynep-tufekci-and-jeremy-howard,https://twitter.com/michaelpsenger/status/1640052820123750401,579,misleading
FatEmperor,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/FatEmperor/status/1639214155675713536,538,misleading
guypbenson,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,https://twitter.com/guypbenson/status/1624061935900672002,527,misleading
realmichaelseif,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/realmichaelseif/status/1628252182020751362,514,misleading
Globalbiosec,https://www.cochrane.org/news/statement-physical-interventions-interrupt-or-reduce-spread-respiratory-viruses-review,https://twitter.com/Globalbiosec/status/1634301104791113728,512,nuanced_accurate
MartinKulldorff,https://www.city-journal.org/new-cochrane-study-on-masks-and-covid,https://twitter.com/MartinKulldorff/status/1627669651931947009,507,misleading
thackerpd,https://disinformationchronicle.substack.com/p/researchers-find-no-evidence-again,https://twitter.com/thackerpd/status/1623037014861053953,498,misleading
IngrahamAngle,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,https://twitter.com/IngrahamAngle/status/1625006721251872768,496,misleading
luckytran,https://www.washingtonpost.com/opinions/2023/03/03/face-masks-work-study/,https://twitter.com/luckytran/status/1632063872189251590,488,nuanced_accurate
MaryanneDemasi,https://maryannedemasi.substack.com/p/breaking-did-cochrane-sacrifice-its,https://twitter.com/MaryanneDemasi/status/1635977257717235713,474,misleading
BretWeinstein,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/BretWeinstein/status/1621202578267865090,473,misleading
davidzweig,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/davidzweig/status/1628265610839818240,469,misleading
dockaurG,https://www.telegraph.co.uk/news/2023/03/01/untruth-untruth-peddled-justify-great-lockdown-disaster/,https://twitter.com/dockaurG/status/1631277603674890240,464,misleading
MaximeBernier,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/MaximeBernier/status/1628758764345036800,463,misleading
DrJBhattacharya,https://michaelpsenger.substack.com/p/rochelle-walenskys-terrible-testimony,https://twitter.com/DrJBhattacharya/status/1626038408639565824,460,misleading
ToshiAkima,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/ToshiAkima/status/1622827992845266944,449,nuanced_accurate
NBCMontana,https://nbcmontana.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,https://twitter.com/NBCMontana/status/1620886078352670720,448,misleading
MailOnline,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,https://twitter.com/MailOnline/status/1621229228397150208,447,misleading
ABridgen,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/ABridgen/status/1628620395753443328,445,misleading
zerohedgejpn,https://www.zerohedge.com/covid-19/ugly-people-more-likely-wear-masks-university-study,https://twitter.com/zerohedgejpn/status/1621999601061597184,424,misleading
DrScheuch,https://www.tagesschau.de/faktenfinder/corona-studie-masken-101.html,https://twitter.com/DrScheuch/status/1621550458094460929,421,nuanced_accurate
zerohedge,https://www.zerohedge.com/covid-19/ugly-people-more-likely-wear-masks-university-study,https://twitter.com/zerohedge/status/1621999572477267970,420,misleading
TRyanGregory,https://www.tvo.org/article/once-and-for-all-masks-reduce-the-risk-of-spreading-covid,https://twitter.com/TRyanGregory/status/1624750842166362115,405,nuanced_accurate
holmenkollin,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/holmenkollin/status/1628360104331423744,404,misleading
DFisman,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/DFisman/status/1622690337897713664,404,nuanced_accurate
ToshiAkima,https://www.news.com.au/lifestyle/health/expert-slams-gold-standard-cochrane-review-mask-verdict/news-story/af7f698fefb0d4ea3e742a2fba3e06b3,https://twitter.com/ToshiAkima/status/1627184313593909248,404,nuanced_accurate
YasinAslanTrk1,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/YasinAslanTrk1/status/1628673739704438786,399,misleading
robbysoave,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,https://twitter.com/robbysoave/status/1623085018598805506,393,misleading
michaelpsenger,https://maryannedemasi.substack.com/p/exclusive-lead-author-of-new-cochrane,https://twitter.com/michaelpsenger/status/1622480248234450948,380,misleading
zerohedge,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/zerohedge/status/1620916187432452096,372,misleading
Rrenzokutai,https://www.cochrane.org/news/statement-physical-interventions-interrupt-or-reduce-spread-respiratory-viruses-review,https://twitter.com/Rrenzokutai/status/1634431094346121217,364,nuanced_accurate
EricTopol,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/EricTopol/status/1634639557131128832,361,nuanced_accurate
MichaelPSenger,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,https://twitter.com/MichaelPSenger/status/1624082006635339777,361,misleading
seanhannity,https://hannity.com/media-room/following-the-science-new-study-finds-face-masks-made-little-to-no-difference/,https://twitter.com/seanhannity/status/1625551815222693900,352,misleading
trishgreenhalgh,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/trishgreenhalgh/status/1622673877150187520,344,nuanced_accurate
PiotrWitczak_,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/PiotrWitczak_/status/1637928804839563270,341,misleading
Fisherlady111,https://www.zerohedge.com/covid-19/brazilian-president-and-wef-member-lula-da-silva-pressures-population-total-covid,https://twitter.com/Fisherlady111/status/1631697228887912450,338,misleading
MartinKulldorff,https://sensiblemed.substack.com/p/cochrane-masking-review-reveals-how,https://twitter.com/MartinKulldorff/status/1628473757470806018,331,misleading
michaelpsenger,https://michaelpsenger.substack.com/p/how-zeynep-tufekci-and-jeremy-howard,https://twitter.com/michaelpsenger/status/1640000181621112833,321,misleading
kevinnbass,https://www.city-journal.org/new-cochrane-study-on-masks-and-covid,https://twitter.com/kevinnbass/status/1640200419984166914,320,misleading
KevinBardosh,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/KevinBardosh/status/1628194485984444417,317,misleading
stkirsch,https://stevekirsch.substack.com/p/in-san-francisco-if-you-dont-wear,https://twitter.com/stkirsch/status/1632666845055524865,310,misleading
leandroruschel,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/leandroruschel/status/1628409539761430528,307,misleading
AaronSiriSG,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/AaronSiriSG/status/1628403978143731712,306,misleading
MichaelPSenger,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/MichaelPSenger/status/1628243406253355013,305,misleading
drlucymcbride,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/drlucymcbride/status/1628205731433402371,304,misleading
MichaelPSenger,https://nypost.com/2023/02/14/face-masks-made-little-to-no-difference-in-preventing-covid-study/,https://twitter.com/MichaelPSenger/status/1625556344635002881,296,misleading
MichaelPSenger,https://www.telegraph.co.uk/news/2023/03/01/untruth-untruth-peddled-justify-great-lockdown-disaster/,https://twitter.com/MichaelPSenger/status/1631354391797313536,296,misleading
TonyHinton2016,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/TonyHinton2016/status/1638971386189484037,292,misleading
gregggonsalves,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/gregggonsalves/status/1634229928324640773,290,nuanced_accurate
FLMIRONES,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/FLMIRONES/status/1628681261253361664,273,misleading
JoshWalkos,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/JoshWalkos/status/1628214511248281602,269,misleading
nypost,https://nypost.com/2023/02/14/face-masks-made-little-to-no-difference-in-preventing-covid-study/,https://twitter.com/nypost/status/1625525537471864834,262,misleading
Kit_Yates_Maths,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,https://twitter.com/Kit_Yates_Maths/status/1630489626132594689,253,nuanced_accurate
MichaelPSenger,https://slate.com/technology/2023/02/masks-effectiveness-cochrane-review.html,https://twitter.com/MichaelPSenger/status/1625271126493646848,250,misleading
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/Globalbiosec/status/1622798343192862721,249,nuanced_accurate
nishiurah,https://www.cochrane.org/news/statement-physical-interventions-interrupt-or-reduce-spread-respiratory-viruses-review,https://twitter.com/nishiurah/status/1634347517205975042,248,nuanced_accurate
0waki,https://vinayprasadmdmph.substack.com/p/wide-confidence-intervals-means-an,https://twitter.com/0waki/status/1622794357383520256,245,misleading
LozzaFox,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,https://twitter.com/LozzaFox/status/1621513122971525120,244,misleading
VPrasadMDMPH,https://sensiblemed.substack.com/p/the-cochrane-mask-fiasco,https://twitter.com/VPrasadMDMPH/status/1636124577318440961,241,misleading
P_McCulloughMD,https://petermcculloughmd.substack.com/p/drop-public-mask-mandates-without,https://twitter.com/P_McCulloughMD/status/1629475868417351683,240,misleading
michaelpsenger,https://michaelpsenger.substack.com/p/rochelle-walenskys-terrible-testimony,https://twitter.com/michaelpsenger/status/1626011959975104512,239,misleading
MIKITO_777,https://www.cochrane.org/news/statement-physical-interventions-interrupt-or-reduce-spread-respiratory-viruses-review,https://twitter.com/MIKITO_777/status/1636192743780397056,238,nuanced_accurate
rupasubramanya,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/rupasubramanya/status/1628212688848400385,236,misleading
MaximeBernier,https://nationalpost.com/opinion/community-masking-was-never-going-to-work-against-covid,https://twitter.com/MaximeBernier/status/1631289690060980224,234,misleading
rosenbusch_,https://www.cicero.de/kultur/corona-christian-drosten-ethikrat-wissenschaft-lutge-teil-3,https://twitter.com/rosenbusch_/status/1630482491709505537,232,misleading
freddiesayers,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/freddiesayers/status/1628341440496431104,230,misleading
JoeNBC,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/JoeNBC/status/1634617053637115904,228,nuanced_accurate
PrisonPlanet,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/PrisonPlanet/status/1620926136875364359,222,misleading
zerohedge,https://www.zerohedge.com/political/how-faucis-wife-used-nih-position-backstop-her-husbands-pandemic-health-directives,https://twitter.com/zerohedge/status/1638707166818504705,221,misleading
MonicaGandhi9,https://slate.com/technology/2023/02/masks-effectiveness-cochrane-review.html,https://twitter.com/MonicaGandhi9/status/1625152019425300480,219,misleading
ChristinaPushaw,https://restorechildhood.substack.com/p/new-meta-analysis-should-end-discussion,https://twitter.com/ChristinaPushaw/status/1622253997238140928,218,misleading
Globalbiosec,https://www.news.com.au/lifestyle/health/expert-slams-gold-standard-cochrane-review-mask-verdict/news-story/af7f698fefb0d4ea3e742a2fba3e06b3,https://twitter.com/Globalbiosec/status/1627091355657990146,218,nuanced_accurate
gregggonsalves,https://www.buzzfeednews.com/article/katiecamero/do-face-mask-mandates-work-covid,https://twitter.com/gregggonsalves/status/1628896082771025922,217,nuanced_accurate
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/Globalbiosec/status/1622722684273688581,216,nuanced_accurate
robbystarbuck,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/robbystarbuck/status/1628414781693562882,215,misleading
dagenmcdowell,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,https://twitter.com/dagenmcdowell/status/1628049785486729216,214,misleading
MartinKulldorff,https://thehill.com/opinion/healthcare/3882707-america-desperately-needs-a-bipartisan-pandemic-post-mortem/,https://twitter.com/MartinKulldorff/status/1631846794698145792,210,misleading
zerohedge,https://www.zerohedge.com/covid-19/brazilian-president-and-wef-member-lula-da-silva-pressures-population-total-covid,https://twitter.com/zerohedge/status/1630631472863248385,210,misleading
ClayTravis,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/ClayTravis/status/1628240475143520257,210,misleading
CaulfieldTim,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/CaulfieldTim/status/1634214973386928128,202,nuanced_accurate
ChanceGardi,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/ChanceGardi/status/1621109443902537729,201,misleading
jvipondmd,https://www.thestar.com/news/canada/2023/03/10/how-the-cochrane-review-went-wrong-report-questioning-covid-masks-blows-up-prompts-apology.html,https://twitter.com/jvipondmd/status/1634397581903032320,198,nuanced_accurate
BlackBondPtv,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/BlackBondPtv/status/1638928065995894784,198,misleading
CaulfieldTim,https://www.vox.com/future-perfect/2023/2/22/23609499/masks-covid-coronavirus-cochrane-review-pandemic-science-studies-infection,https://twitter.com/CaulfieldTim/status/1628422163199057921,195,nuanced_accurate
Jikkyleaks,https://www.news.com.au/lifestyle/health/expert-slams-gold-standard-cochrane-review-mask-verdict/news-story/af7f698fefb0d4ea3e742a2fba3e06b3,https://twitter.com/Jikkyleaks/status/1627851786144071680,193,nuanced_accurate
1goodtern,https://www.washingtonpost.com/opinions/2023/03/03/face-masks-work-study/,https://twitter.com/1goodtern/status/1632073709178454016,192,nuanced_accurate
KendraWrites,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/KendraWrites/status/1628441152964771840,190,misleading
Dover63A,https://stevekirsch.substack.com/p/the-debate-is-over-masks-do-not-work,https://twitter.com/Dover63A/status/1621161611187855360,189,misleading
patrickbetdavid,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/patrickbetdavid/status/1628422650904158210,189,misleading
JamesMelville,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/JamesMelville/status/1628538111331299329,189,misleading
tomdabassman,https://www.berliner-zeitung.de/news/corona-masken-nutzlos-bringen-nichts-cochrane-studie-oft-falsch-interpretiert-li.313781,https://twitter.com/tomdabassman/status/1621405875003867137,188,nuanced_accurate
davidemccune,https://vinayprasadmdmph.substack.com/p/the-cochrane-review-on-masks-is-damning,https://twitter.com/davidemccune/status/1621232178712674304,187,misleading
CaulfieldTim,https://www.latimes.com/business/story/2023-02-24/covid-deniers-celebrate-a-study-that-claims-mask-mandates-dont-work-but-the-study-says-the-opposite,https://twitter.com/CaulfieldTim/status/1629128983588802560,187,nuanced_accurate
gatewaypundit,https://www.thegatewaypundit.com/2023/02/cdc-director-walensky-says-child-masking-policies-doesnt-really-change-time-confronted-new-study-proves-masking-worthless-detrimental-child-development-v/,https://twitter.com/gatewaypundit/status/1625702633846542336,185,misleading
ChristinaBerndt,https://www.cochrane.org/news/statement-physical-interventions-interrupt-or-reduce-spread-respiratory-viruses-review,https://twitter.com/ChristinaBerndt/status/1635604041773219842,183,nuanced_accurate
kung_fu_jedi,https://www.zerohedge.com/covid-19/brazilian-president-and-wef-member-lula-da-silva-pressures-population-total-covid,https://twitter.com/kung_fu_jedi/status/1631640956486184965,182,misleading
graciefacelove,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/graciefacelove/status/1628219855571914753,180,misleading
profnfenton,https://chriswaldburger.substack.com/p/ending-the-covid-debate-for-good,https://twitter.com/profnfenton/status/1638871242567569408,179,misleading
cicero_online,https://www.cicero.de/kultur/corona-christian-drosten-ethikrat-wissenschaft-lutge-teil-3,https://twitter.com/cicero_online/status/1630462906079891460,179,misleading
denise_dewald,https://www.washingtonpost.com/opinions/2023/03/03/face-masks-work-study/,https://twitter.com/denise_dewald/status/1631993949941293057,179,nuanced_accurate
Xx17965797N,https://www.zerohedge.com/covid-19/brazilian-president-and-wef-member-lula-da-silva-pressures-population-total-covid,https://twitter.com/Xx17965797N/status/1631604804098088960,178,misleading
larryelder,https://www.dailysignal.com/2023/02/20/new-study-on-masks-shows-theres-no-evidence-they-work/,https://twitter.com/larryelder/status/1628035366929440770,177,misleading
JSchmitzLeipzig,https://www.zeit.de/gesundheit/2023-03/coronavirus-cochrane-forschung-masken-wirksamkeit,https://twitter.com/JSchmitzLeipzig/status/1634289789942878223,176,nuanced_accurate
michaelpsenger,https://michaelpsenger.substack.com/p/rochelle-walenskys-terrible-testimony,https://twitter.com/michaelpsenger/status/1638967689061466112,173,misleading
a_evangeli,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/a_evangeli/status/1622734384595075072,173,nuanced_accurate
hicksyalex,https://www.telegraph.co.uk/news/2023/03/01/untruth-untruth-peddled-justify-great-lockdown-disaster/,https://twitter.com/hicksyalex/status/1631173913471221761,171,misleading
fengyunshe,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,https://twitter.com/fengyunshe/status/1625499799373107200,171,misleading
MmeBlackBalloon,https://news.yahoo.com/parents-now-whether-covid-mask-233536286.html,https://twitter.com/MmeBlackBalloon/status/1625870272472686592,170,misleading
robinmonotti,https://maryannedemasi.substack.com/p/exclusive-lead-author-of-new-cochrane,https://twitter.com/robinmonotti/status/1622567385466081280,169,misleading
davidicke,https://davidicke.com/2023/02/04/massive-peer-reviewed-mask-study-shows-little-to-no-difference-in-preventing-covid-and-flu-infection/,https://twitter.com/davidicke/status/1621816587819880450,169,misleading
CurtisHebert,https://www.zerohedge.com/geopolitical/gaslighting-conspiracy-theories-already-proven-true-2023,https://twitter.com/CurtisHebert/status/1631691545593217024,168,misleading
Fuchslocher1978,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/Fuchslocher1978/status/1628446717212237824,165,misleading
Weltwoche,https://weltwoche.ch/daily/studie-zeigt-die-maskenpflicht-hat-so-gut-wie-nichts-gebracht-auf-die-verbreitung-des-virus-hatten-masken-keine-wirkung/,https://twitter.com/Weltwoche/status/1621925552180400132,165,misleading
zerohedge,https://www.zerohedge.com/political/cdc-director-defends-mask-mandates-after-new-study-shows-masking-has-little-effect,https://twitter.com/zerohedge/status/1623874427699007490,165,misleading
ProfPCDoherty,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,https://twitter.com/ProfPCDoherty/status/1622701344619663360,163,nuanced_accurate
